#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 222  2.1  3.0  1.62  7.69  6.43 126 1008.9  19.8  20.7  18.0 99.0 99.00
2017 01 01 00 50 199  6.5  7.6  1.78  7.69  6.41 136 1008.9  20.9  20.7  19.3 99.0 99.00
2017 01 01 01 50 205  5.7  6.9  1.81  7.14  6.27 126 1009.7  20.8  20.7  19.2 99.0 99.00
2017 01 01 02 50 224  3.9  4.8  1.68  7.14  6.29 123 1010.3  20.5  20.7  19.0 99.0 99.00
2017 01 01 03 50 214  3.1  3.6  1.55  7.69  6.10 129 1010.5  20.1  20.7  18.8 99.0 99.00
2017 01 01 04 50 180  3.1  3.8  1.66  7.14  6.25 134 1010.1  20.3  20.6  19.0 99.0 99.00
2017 01 01 05 50 176  2.5  3.2  1.64  7.14  6.14 121 1010.1  20.4  20.5  19.1 99.0 99.00
2017 01 01 06 50 191  3.7  4.7  1.66  7.14  6.09 135 1010.0  20.5  20.4  19.1 99.0 99.00
2017 01 01 07 50 172  1.4  1.9  1.56  7.14  5.94 138 1009.9  20.5  20.4  19.3 99.0 99.00
2017 01 01 08 50 231  2.2  2.5  1.50  7.14  6.04 141 1010.5  20.6  20.4  19.5 99.0 99.00
2017 01 01 09 50 207  1.9  2.4  1.54  7.69  6.05 122 1010.7  20.3  20.3  19.2 99.0 99.00
2017 01 01 10 50 226  2.4  2.9  1.60  7.14  6.21 139 1010.8  20.1  20.2  18.9 99.0 99.00
2017 01 01 11 50 189  2.2  2.6  1.49  7.14  6.13 131 1010.9  20.2  20.2  19.0 99.0 99.00
2017 01 01 12 50 245  1.5  2.0  1.29  6.67  5.97 135 1011.6  20.2  20.3  19.0 99.0 99.00
2017 01 01 13 50 250  1.9  2.4  1.39  7.14  6.24 123 1012.3  20.0  20.2  18.8 99.0 99.00
2017 01 01 14 50 183  0.4  1.2  1.38  7.14  6.15 138 1012.4  20.4  20.2  19.1 99.0 99.00
2017 01 01 15 50 121  4.2  5.2  1.28  7.69  6.08 128 1011.4  21.2  19.7  19.2 99.0 99.00
2017 01 01 16 50 128  7.2  8.5  1.29  7.14  6.05 142 1011.1  22.2  19.7  19.8 99.0 99.00
2017 01 01 17 50 113  4.8  5.5  1.30  6.67  5.68 152 1010.4  22.3  19.7  20.0 99.0 99.00
2017 01 01 18 50 146  4.3  4.7  1.28  7.69  5.72 113 1010.1  22.6  19.7  20.2 99.0 99.00
2017 01 01 19 50 242  5.6  6.8  1.30  6.67  5.64 124 1010.0  20.0  19.8  18.7 99.0 99.00
