"","x"
"1",1.05
"2",1.17
"3",1.1
"4",1.13
"5",1.08
"6",1.17
"7",1.29
"8",1.38
"9",1.41
"10",1.42
"11",1.46
"12",1.37
"13",1.48
"14",1.27
"15",1.25
"16",1.2
"17",1.18
"18",1.12
"19",1.07
"20",1.05
"21",1.14
"22",1.19
"23",1.22
"24",1.27
"25",1.3
"26",1.27
"27",1.21
"28",1.34
"29",1.3
"30",1.45
"31",1.45
"32",1.48
"33",1.41
"34",1.42
"35",1.46
"36",1.48
"37",1.36
"38",1.25
"39",1.14
"40",1.17
"41",1.14
"42",1.22
"43",1.23
"44",1.29
"45",1.28
"46",1.29
"47",1.41
"48",1.49
"49",1.58
"50",1.56
"51",1.75
"52",1.86
"53",1.84
"54",1.91
"55",1.82
"56",1.85
"57",2.01
"58",1.9
"59",1.88
"60",1.9
"61",1.85
"62",1.85
"63",1.85
"64",1.92
"65",1.93
"66",2.01
"67",1.93
"68",1.87
"69",1.78
"70",1.67
"71",1.69
"72",1.84
"73",1.91
"74",1.85
"75",1.98
"76",1.64
"77",1.81
"78",1.75
"79",1.9
"80",1.86
"81",1.9
"82",1.78
"83",1.79
"84",1.66
"85",1.59
"86",1.64
"87",1.72
"88",1.54
"89",1.53
"90",1.41
"91",1.58
"92",1.46
"93",1.5
"94",1.32
"95",1.31
"96",1.2
"97",1.34
"98",1.27
"99",1.28
"100",1.28
"101",1.3
"102",1.25
"103",1.23
"104",1.16
"105",1.2
"106",1.07
"107",1.06
"108",1.07
"109",1.06
"110",1.06
"111",1
"112",0.96
"113",1.07
"114",1.02
"115",1.02
"116",0.99
"117",1
"118",1
"119",0.92
"120",1.02
"121",0.96
"122",0.94
"123",1.03
"124",1.05
"125",1.05
"126",1.01
"127",0.98
"128",0.89
"129",0.96
"130",0.98
"131",0.94
"132",0.91
"133",0.88
"134",0.8
"135",0.82
"136",0.77
"137",0.74
"138",0.63
"139",0.61
"140",0.59
"141",0.63
"142",0.58
"143",0.57
"144",0.57
"145",0.6
"146",0.7
"147",0.74
"148",0.78
"149",0.73
"150",0.73
"151",0.78
"152",0.72
"153",0.7
"154",0.74
"155",0.68
"156",0.65
"157",0.67
"158",0.61
"159",0.59
"160",0.58
"161",0.53
"162",0.55
"163",0.53
"164",0.5
"165",0.52
"166",0.5
"167",0.54
"168",0.52
"169",0.55
"170",0.65
"171",0.67
"172",0.66
"173",0.74
"174",0.88
"175",0.83
"176",0.83
"177",0.8
"178",0.74
"179",0.75
"180",0.73
"181",0.72
"182",0.73
"183",0.7
"184",0.71
"185",0.67
"186",0.63
"187",0.73
"188",0.67
"189",0.65
"190",0.72
"191",0.72
"192",0.72
"193",0.8
"194",0.8
"195",1.03
"196",0.96
"197",1.14
"198",1.29
"199",1.09
"200",0.97
"201",1.02
"202",1.08
"203",1
"204",1.14
"205",1.01
"206",0.98
"207",0.97
"208",1.03
"209",0.93
"210",0.93
"211",1.01
"212",1.01
"213",1.09
"214",0.94
