"","x"
"1",28.4
"2",28.4
"3",28.2
"4",28.2
"5",28.3
"6",28.2
"7",28.3
"8",28.3
"9",28.2
"10",28.3
"11",28.2
"12",28.2
"13",28
"14",28.1
"15",28.1
"16",27.9
"17",27.9
"18",27.8
"19",27.6
"20",27.5
"21",27.3
"22",27.1
"23",27
"24",27.1
"25",26.9
"26",26.9
"27",27.2
"28",27.3
"29",27.2
"30",27.2
"31",27.3
"32",27.3
"33",27.4
"34",27.5
"35",27.6
"36",27.6
"37",27.6
"38",27.7
"39",27.8
"40",27.9
"41",28
"42",28.1
"43",28.1
"44",28.2
"45",28.3
"46",28.2
"47",28.2
"48",28.2
"49",28.2
"50",28.1
"51",28.1
"52",27.9
"53",28
"54",27.9
"55",27.9
"56",27.9
"57",27.9
"58",27.8
"59",27.7
"60",27.6
"61",27.4
"62",27.4
"63",27.4
"64",27.3
"65",27.2
"66",27.1
"67",27.1
"68",27.1
"69",27.1
"70",27
"71",26.9
"72",26.9
"73",27
"74",27
"75",27.2
"76",27.3
"77",27.3
"78",27.4
"79",27.4
"80",27.4
"81",27.4
"82",27.5
"83",27.5
"84",27.5
"85",27.6
"86",27.7
"87",27.6
"88",27.7
"89",27.8
"90",27.9
"91",27.9
"92",28
"93",28.1
"94",28.1
"95",28.1
"96",28.1
"97",28.1
"98",28
"99",27.8
"100",27.8
"101",27.8
"102",27.8
"103",27.9
"104",27.9
"105",27.8
"106",27.8
"107",27.7
"108",27.7
"109",27.7
"110",27.6
"111",27.5
"112",27.4
"113",27.4
"114",27.4
"115",27.4
"116",27.5
"117",27.4
"118",27.5
"119",27.4
"120",27.4
"121",27.6
"122",27.6
"123",27.8
"124",27.8
"125",27.9
"126",27.8
"127",27.7
"128",27.8
"129",27.6
"130",27.6
"131",27.6
"132",27.7
"133",27.6
"134",27.7
"135",27.9
"136",27.8
"137",27.9
"138",28.1
"139",28
"140",28.2
"141",28.1
"142",28.2
"143",28.2
"144",28.1
"145",28
"146",27.9
"147",27.9
"148",27.8
"149",27.8
"150",27.7
"151",27.6
"152",27.7
"153",27.6
"154",27.6
"155",27.5
"156",27.3
"157",27.3
"158",27.2
"159",27.2
"160",27.2
"161",27.2
"162",27.2
"163",27.1
"164",27
"165",26.9
"166",26.8
"167",26.8
"168",26.8
"169",26.9
"170",26.9
"171",26.7
"172",26.8
"173",26.9
"174",27
"175",27
"176",27.1
"177",27
"178",27
"179",27.2
"180",27.3
"181",27.4
"182",27.5
"183",27.5
"184",27.7
"185",27.8
"186",27.9
"187",27.9
"188",28
"189",28.1
"190",28.2
"191",28.2
"192",28.1
"193",28.1
"194",28.1
"195",27.8
"196",27.7
"197",27.7
"198",27.6
"199",27.5
"200",27.5
"201",27.4
"202",27.3
"203",27.2
"204",27.3
"205",27.2
"206",27.1
"207",27.1
"208",27.2
"209",27.1
"210",27.2
"211",27
"212",27.1
"213",27
"214",26.9
"215",27
"216",26.9
"217",26.9
"218",26.9
"219",27
"220",27.3
"221",27.5
"222",27.6
"223",27.6
"224",27.8
"225",27.8
"226",27.8
"227",27.8
"228",28
"229",27.9
"230",28.1
"231",28.3
"232",28.1
"233",28.3
"234",28.4
"235",28.4
"236",28.3
"237",28.4
"238",28.5
"239",28.3
"240",28.2
"241",28.2
"242",28.2
"243",28.1
"244",28
"245",28
"246",28
"247",28
"248",27.9
"249",27.8
"250",27.9
"251",27.7
"252",27.6
"253",27.5
"254",27.3
"255",27.2
"256",27.2
"257",27.1
"258",27
"259",27
"260",27
"261",26.9
"262",26.6
"263",26.4
"264",26.6
"265",26.8
"266",27.5
"267",27.7
"268",28.1
"269",28.1
"270",28.1
"271",28
"272",28
"273",28.2
"274",28.2
"275",28.4
"276",28.3
"277",28.3
"278",28.4
"279",28.4
"280",28.5
"281",28.5
"282",28.6
"283",28.5
"284",28.7
"285",28.6
"286",28.5
"287",28.5
"288",28.3
"289",28.3
"290",28.3
"291",28.2
"292",28.2
"293",28.2
"294",28.1
"295",28
"296",28
"297",28
"298",27.9
"299",27.7
"300",27.7
"301",27.7
"302",27.5
"303",27.4
"304",27.3
"305",27.2
"306",27.1
"307",27.1
"308",27.1
"309",27.1
"310",26.9
"311",26.8
"312",27
"313",27.2
"314",27.4
"315",27.7
"316",27.6
"317",27.8
"318",27.9
"319",28.1
"320",28.2
"321",28.3
"322",28.4
"323",28.4
"324",28.4
"325",28.4
"326",28.5
"327",28.7
"328",28.7
"329",28.9
"330",28.7
"331",28.9
"332",28.9
"333",29
"334",28.7
"335",28.7
"336",28.8
"337",28.6
"338",28.7
"339",28.8
"340",28.7
"341",28.6
"342",28.6
"343",28.7
"344",28.7
"345",28.8
"346",28.8
"347",28.6
"348",28.5
"349",28.6
"350",28.6
"351",28.4
"352",28.4
"353",28.3
"354",28.2
"355",28.2
"356",28.3
"357",28.3
"358",28.2
"359",28.3
"360",28.4
"361",28.6
"362",28.6
"363",28.7
"364",28.6
"365",28.6
"366",28.6
"367",28.6
"368",28.4
"369",28.4
"370",28.5
"371",28.5
"372",28.5
"373",28.4
"374",28.3
"375",28.4
"376",28.5
"377",28.5
"378",28.4
"379",28.5
"380",28.5
"381",28.8
"382",28.6
"383",28.4
"384",28.6
"385",28.1
"386",28.1
"387",28.1
"388",28.2
"389",28.2
"390",28.3
"391",28.3
"392",28.5
"393",28.5
"394",28.5
"395",27.9
"396",27.9
"397",28
"398",27.9
"399",28.1
"400",28
"401",28.1
"402",28
"403",28
"404",27.8
"405",27.7
"406",27.7
"407",27.6
"408",27.9
"409",28.5
"410",28.5
"411",28.6
"412",28.6
"413",28.4
"414",28.4
"415",28.3
"416",28.3
"417",28.4
"418",28.5
"419",28.5
"420",28.6
"421",28.7
"422",28.6
"423",28.7
"424",28.7
"425",28.8
"426",28.6
"427",28.7
"428",28.5
"429",28.5
"430",28.2
"431",28.1
"432",28.1
"433",28.1
"434",28.2
"435",28.1
"436",28.2
"437",28.2
"438",28.2
"439",28.2
"440",28.1
"441",28.2
"442",28.2
"443",28.2
"444",28.2
"445",28.1
"446",28.1
"447",28.2
"448",28.1
"449",27.8
"450",27.8
"451",27.9
"452",28
"453",27.9
"454",27.8
"455",27.7
"456",28
"457",28.2
"458",28.7
"459",28.6
"460",28.3
"461",28.3
"462",28.4
"463",28.1
"464",27.9
"465",28.1
"466",28.2
"467",28
"468",28.1
"469",28.1
"470",28.2
"471",28.3
"472",28.5
"473",28.7
"474",28.5
"475",28.6
"476",28.8
"477",28.9
"478",28.9
"479",28.7
"480",28.7
"481",28.3
"482",28.2
"483",27.9
"484",28
"485",28.1
"486",28
"487",28.1
"488",28
"489",28.1
"490",28
"491",28
"492",28.1
"493",28.2
"494",28
"495",28.2
"496",28.3
"497",28.4
"498",28.3
"499",28.3
"500",28.3
"501",28.3
"502",28.3
"503",28.2
"504",28.1
"505",28.7
"506",28.6
"507",28.6
"508",27.9
"509",28
"510",28.1
"511",27.9
"512",28.4
"513",27.5
"514",27.6
"515",25.9
"516",27.6
"517",27.3
"518",28
"519",28.1
"520",28.5
"521",27.5
"522",27
"523",27.2
"524",27.4
"525",27.8
"526",28.4
"527",28.5
"528",28.2
"529",28.1
"530",28.4
"531",28.5
"532",28.5
"533",28.7
"534",28.6
"535",27
"536",27.8
"537",27.2
"538",26.9
"539",27.1
"540",27.1
"541",27.3
"542",27.5
"543",25
"544",26
"545",26.7
"546",26.5
"547",26.5
"548",25.8
"549",26
"550",25.6
"551",25.2
"552",25.8
"553",25.4
"554",25.2
"555",25.2
"556",25
"557",24.5
"558",24.3
"559",24.3
"560",24.4
"561",24.3
"562",24.3
"563",24.5
"564",24.9
"565",24.4
"566",24.5
"567",24.5
"568",24.8
"569",24.7
"570",26.9
"571",26.8
"572",27.3
"573",27.4
"574",27.5
"575",27.7
"576",27.6
"577",27.5
"578",27.4
"579",27.3
"580",27.5
"581",27.6
"582",27.6
"583",27.5
"584",27.3
"585",27.5
"586",27.2
"587",27.1
"588",27.4
"589",27.4
"590",27.4
"591",27.2
"592",26.9
"593",27
"594",26.9
