"","x"
"1",2017-08-24 09:30:00
"2",2017-08-24 10:00:00
"3",2017-08-24 10:30:00
"4",2017-08-24 11:00:00
"5",2017-08-24 11:30:00
"6",2017-08-24 12:00:00
"7",2017-08-24 12:30:00
"8",2017-08-24 13:00:00
"9",2017-08-24 13:30:00
"10",2017-08-24 14:00:00
"11",2017-08-24 14:30:00
"12",2017-08-24 15:00:00
"13",2017-08-24 15:30:00
"14",2017-08-24 16:00:00
"15",2017-08-24 16:30:00
"16",2017-08-24 17:00:00
"17",2017-08-24 17:30:00
"18",2017-08-24 18:00:00
"19",2017-08-24 18:30:00
"20",2017-08-24 19:00:00
"21",2017-08-24 19:30:00
"22",2017-08-24 20:00:00
"23",2017-08-24 20:30:00
"24",2017-08-24 21:00:00
"25",2017-08-24 21:30:00
"26",2017-08-24 22:00:00
"27",2017-08-24 22:30:00
"28",2017-08-24 23:00:00
"29",2017-08-24 23:30:00
"30",2017-08-25 00:00:00
"31",2017-08-25 00:30:00
"32",2017-08-25 01:00:00
"33",2017-08-25 01:30:00
"34",2017-08-25 02:00:00
"35",2017-08-25 02:30:00
"36",2017-08-25 03:00:00
"37",2017-08-25 03:30:00
"38",2017-08-25 04:00:00
"39",2017-08-25 04:30:00
"40",2017-08-25 05:00:00
"41",2017-08-25 05:30:00
"42",2017-08-25 06:00:00
"43",2017-08-25 06:30:00
"44",2017-08-25 07:00:00
"45",2017-08-25 07:30:00
"46",2017-08-25 08:00:00
"47",2017-08-25 08:30:00
"48",2017-08-25 09:00:00
"49",2017-08-25 09:30:00
"50",2017-08-25 10:00:00
"51",2017-08-25 10:30:00
"52",2017-08-25 11:00:00
"53",2017-08-25 11:30:00
"54",2017-08-25 12:00:00
"55",2017-08-25 12:30:00
"56",2017-08-25 13:00:00
"57",2017-08-25 13:30:00
"58",2017-08-25 14:00:00
"59",2017-08-25 14:30:00
"60",2017-08-25 15:00:00
"61",2017-08-25 15:30:00
"62",2017-08-25 16:00:00
"63",2017-08-25 16:30:00
"64",2017-08-25 17:00:00
"65",2017-08-25 17:30:00
"66",2017-08-25 18:00:00
"67",2017-08-25 18:30:00
"68",2017-08-25 19:00:00
"69",2017-08-25 19:30:00
"70",2017-08-25 20:00:00
"71",2017-08-25 20:30:00
"72",2017-08-25 21:00:00
"73",2017-08-25 21:30:00
"74",2017-08-25 22:00:00
"75",2017-08-25 22:30:00
"76",2017-08-25 23:00:00
"77",2017-08-25 23:30:00
"78",2017-08-26 00:00:00
"79",2017-08-26 00:30:00
"80",2017-08-26 01:00:00
"81",2017-08-26 01:30:00
"82",2017-08-26 02:00:00
"83",2017-08-26 02:30:00
"84",2017-08-26 03:00:00
"85",2017-08-26 03:30:00
"86",2017-08-26 04:00:00
"87",2017-08-26 04:30:00
"88",2017-08-26 05:00:00
"89",2017-08-26 05:30:00
"90",2017-08-26 06:00:00
"91",2017-08-26 06:30:00
"92",2017-08-26 07:00:00
"93",2017-08-26 07:30:00
"94",2017-08-26 08:00:00
"95",2017-08-26 08:30:00
"96",2017-08-26 09:00:00
"97",2017-08-26 09:30:00
"98",2017-08-26 10:00:00
"99",2017-08-26 10:30:00
"100",2017-08-26 11:00:00
"101",2017-08-26 11:30:00
"102",2017-08-26 12:00:00
"103",2017-08-26 12:30:00
"104",2017-08-26 13:00:00
"105",2017-08-26 13:30:00
"106",2017-08-26 14:00:00
"107",2017-08-26 14:30:00
"108",2017-08-26 15:00:00
"109",2017-08-26 15:30:00
"110",2017-08-26 16:00:00
"111",2017-08-26 16:30:00
"112",2017-08-26 17:00:00
"113",2017-08-26 17:30:00
"114",2017-08-26 18:00:00
"115",2017-08-26 18:30:00
"116",2017-08-26 19:00:00
"117",2017-08-26 19:30:00
"118",2017-08-26 20:00:00
"119",2017-08-26 20:30:00
"120",2017-08-26 21:00:00
"121",2017-08-26 21:30:00
"122",2017-08-26 22:00:00
"123",2017-08-26 22:30:00
"124",2017-08-26 23:00:00
"125",2017-08-26 23:30:00
"126",2017-08-27 00:00:00
"127",2017-08-27 00:30:00
"128",2017-08-27 01:00:00
"129",2017-08-27 01:30:00
"130",2017-08-27 02:00:00
"131",2017-08-27 02:30:00
"132",2017-08-27 03:00:00
"133",2017-08-27 03:30:00
"134",2017-08-27 04:00:00
"135",2017-08-27 04:30:00
"136",2017-08-27 05:00:00
"137",2017-08-27 05:30:00
"138",2017-08-27 06:00:00
"139",2017-08-27 06:30:00
"140",2017-08-27 07:00:00
"141",2017-08-27 07:30:00
"142",2017-08-27 08:00:00
"143",2017-08-27 08:30:00
"144",2017-08-27 09:00:00
"145",2017-08-27 09:30:00
"146",2017-08-27 10:00:00
"147",2017-08-27 10:30:00
"148",2017-08-27 11:00:00
"149",2017-08-27 11:30:00
"150",2017-08-27 12:00:00
"151",2017-08-27 12:30:00
